date,time,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label,type
31-Mar-19,12:37:15,44745,46290,27921,12231,0,normal
31-Mar-19, 12:37:16 ,24307,17886,8631,57516,0,normal
31-Mar-19, 12:37:18 ,0,0,0,0,0,normal
31-Mar-19, 12:37:18 ,64302,37407,56337,48362,0,normal
31-Mar-19,12:37:18,0,0,0,0,0,normal
31-Mar-19, 12:37:19 ,35737,51158,64173,18638,0,normal
31-Mar-19,12:37:19,45798,32289,56760,40844,0,normal
31-Mar-19,12:37:19,64302,37407,56337,48362,0,normal
31-Mar-19, 12:37:21 ,22626,15622,52695,18531,0,normal
31-Mar-19,12:37:21,30074,4223,51679,14892,0,normal
31-Mar-19,12:37:24,17378,11774,14740,58619,0,normal
31-Mar-19,12:37:24,55276,8194,44767,43364,0,normal
31-Mar-19, 12:37:25 ,26286,56455,21236,51783,0,normal
31-Mar-19, 12:37:26 ,26286,56455,21236,51783,0,normal
31-Mar-19,12:37:28,62033,45712,53446,21777,0,normal
31-Mar-19,12:37:29,31248,8082,60759,24655,0,normal
31-Mar-19,12:37:30,47867,30611,22516,54140,0,normal
31-Mar-19, 12:37:32 ,9009,28307,63138,4384,0,normal
31-Mar-19,12:37:32,9009,28307,63138,4384,0,normal
31-Mar-19, 12:37:34 ,35392,60267,306,39911,0,normal
31-Mar-19,12:37:35,35392,60267,306,39911,0,normal
31-Mar-19,12:37:35,6190,34930,10617,20308,0,normal
31-Mar-19, 12:37:36 ,9565,30679,27766,5720,0,normal
31-Mar-19,12:37:36,14133,33389,41705,24338,0,normal
31-Mar-19, 12:37:37 ,22214,832,31095,51144,0,normal
31-Mar-19, 12:37:38 ,12282,12841,58803,3968,0,normal
31-Mar-19, 12:37:38 ,17002,20434,10781,46700,0,normal
31-Mar-19,12:37:38,22214,832,31095,51144,0,normal
31-Mar-19,12:37:39,42480,13601,41491,50524,0,normal
31-Mar-19, 12:37:40 ,20231,22988,6740,45111,0,normal
31-Mar-19, 12:37:40 ,27242,4889,30530,5397,0,normal
31-Mar-19,12:37:40,27242,4889,30530,5397,0,normal
31-Mar-19, 12:37:41 ,22154,54856,40360,50617,0,normal
31-Mar-19,12:37:41,5858,41349,18227,1,0,normal
31-Mar-19, 12:37:42 ,46328,48024,43098,56092,0,normal
31-Mar-19,12:37:42,13080,33890,44671,9676,0,normal
31-Mar-19,12:37:42,9214,20766,41045,50306,0,normal
31-Mar-19,12:37:43,13080,33890,44671,9676,0,normal
31-Mar-19,12:37:43,24544,34616,57623,46700,0,normal
31-Mar-19, 12:37:44 ,21877,42096,17071,3020,0,normal
31-Mar-19, 12:37:45 ,62534,19731,59229,51474,0,normal
31-Mar-19,12:37:45,62534,19731,59229,51474,0,normal
31-Mar-19, 12:37:46 ,50660,31082,39331,16836,0,normal
31-Mar-19, 12:37:46 ,62818,65071,59375,63876,0,normal
31-Mar-19, 12:37:47 ,27310,60763,33366,33510,0,normal
31-Mar-19, 12:37:47 ,35329,11109,53555,11695,0,normal
31-Mar-19, 12:37:47 ,57046,12351,41469,62871,0,normal
31-Mar-19,12:37:48,27310,60763,33366,33510,0,normal
31-Mar-19, 12:37:49 ,14442,22456,2813,41113,0,normal
31-Mar-19, 12:37:49 ,18894,25599,3823,52158,0,normal
31-Mar-19,12:37:49,19134,29075,38697,6351,0,normal
31-Mar-19, 12:37:50 ,48639,35089,6124,3934,0,normal
31-Mar-19,12:37:50,46244,30973,58535,26589,0,normal
31-Mar-19, 12:37:51 ,13484,850,37590,19366,0,normal
31-Mar-19, 12:37:51 ,2339,65205,58488,30717,0,normal
31-Mar-19, 12:37:52 ,7735,31808,25751,55140,0,normal
31-Mar-19,12:37:52,2339,65205,58488,30717,0,normal
31-Mar-19, 12:37:53 ,18062,58956,14517,24613,0,normal
31-Mar-19,12:37:53,18062,58956,14517,24613,0,normal
31-Mar-19,12:37:53,517,48939,47942,62400,0,normal
31-Mar-19,12:37:53,57016,56556,40405,63606,0,normal
31-Mar-19, 12:37:54 ,32843,25281,58139,817,0,normal
31-Mar-19, 12:37:54 ,33475,40189,32349,28138,0,normal
31-Mar-19, 12:37:54 ,52856,58236,46899,7040,0,normal
31-Mar-19, 12:37:55 ,1503,46285,44972,54573,0,normal
31-Mar-19, 12:37:55 ,36160,28976,52227,41870,0,normal
31-Mar-19,12:38:24,5286,45948,39011,53643,0,normal
31-Mar-19, 12:38:25 ,14113,19839,21512,10577,0,normal
31-Mar-19, 12:38:25 ,42990,60930,42139,42159,0,normal
31-Mar-19, 12:38:25 ,53548,60646,14256,64476,0,normal
31-Mar-19,12:38:25,42990,60930,42139,42159,0,normal
31-Mar-19,12:38:25,53548,60646,14256,64476,0,normal
31-Mar-19, 12:38:26 ,18257,40194,15880,30200,0,normal
31-Mar-19,12:38:26,47953,43798,52479,14820,0,normal
31-Mar-19, 12:38:27 ,49843,27241,45168,19867,0,normal
31-Mar-19, 12:38:27 ,51348,9849,7421,34050,0,normal
31-Mar-19, 12:38:28 ,59659,19883,14290,44046,0,normal
31-Mar-19, 12:38:29 ,10858,38784,58573,38661,0,normal
31-Mar-19, 12:38:29 ,43699,65459,38257,52910,0,normal
31-Mar-19, 12:38:29 ,8271,33492,34749,24684,0,normal
31-Mar-19,12:38:29,54747,10080,7263,62299,0,normal
31-Mar-19, 12:38:30 ,1406,57535,33925,59587,0,normal
31-Mar-19, 12:38:30 ,55635,23421,9144,28720,0,normal
31-Mar-19,12:38:30,26353,54864,60505,3297,0,normal
31-Mar-19,12:38:30,29190,49631,27874,4958,0,normal
31-Mar-19, 12:38:31 ,10404,34720,8429,31008,0,normal
31-Mar-19, 12:38:31 ,36260,28323,37895,38016,0,normal
31-Mar-19, 12:38:31 ,62066,48206,64448,36072,0,normal
31-Mar-19,12:38:31,28299,25316,61965,12,0,normal
31-Mar-19, 12:38:32 ,31829,2381,27691,49359,0,normal
31-Mar-19, 12:38:33 ,61236,52137,33638,16886,0,normal
31-Mar-19, 12:38:34 ,41481,56540,59783,51841,0,normal
31-Mar-19, 12:38:34 ,55275,47125,57561,52833,0,normal
31-Mar-19,12:38:34,27916,48654,575,16276,0,normal
31-Mar-19,12:38:34,49370,50866,4592,20125,0,normal
31-Mar-19, 12:38:35 ,27894,34968,16689,44563,0,normal
31-Mar-19, 12:38:35 ,37218,32827,25887,10958,0,normal
31-Mar-19, 12:38:35 ,55275,47125,57561,52833,0,normal
31-Mar-19,12:38:35,47808,62824,33158,40334,0,normal
31-Mar-19,12:38:35,55275,47125,57561,52833,0,normal
31-Mar-19,12:38:36,44710,12076,57640,48288,0,normal
31-Mar-19,12:38:36,58913,15730,7802,13644,0,normal
31-Mar-19,12:38:36,61774,45337,9929,61961,0,normal
31-Mar-19, 12:38:37 ,33268,31834,30216,41298,0,normal
31-Mar-19,12:38:37,51854,29639,46388,23958,0,normal
31-Mar-19, 12:38:38 ,10242,15357,52007,38710,0,normal
31-Mar-19, 12:38:38 ,43316,44333,41571,65144,0,normal
31-Mar-19, 12:38:39 ,17809,23751,8822,37324,0,normal
31-Mar-19, 12:38:39 ,7992,56440,23814,35236,0,normal
31-Mar-19,12:38:39,4521,27253,47773,18082,0,normal
31-Mar-19, 12:38:40 ,25840,10372,29267,30128,0,normal
31-Mar-19,12:38:40,2001,60925,23095,35743,0,normal
31-Mar-19,12:38:40,25840,10372,29267,30128,0,normal
31-Mar-19,12:38:41,11097,50714,27309,34741,0,normal
31-Mar-19,12:38:41,31998,33092,10031,33086,0,normal
31-Mar-19,12:38:42,61146,5863,58516,58948,0,normal
31-Mar-19, 12:38:43 ,23200,53207,63585,27310,0,normal
31-Mar-19, 12:38:43 ,43231,33530,48391,39637,0,normal
31-Mar-19, 12:38:43 ,55197,17832,43388,14863,0,normal
31-Mar-19,12:38:43,23200,53207,63585,27310,0,normal
31-Mar-19,12:38:43,43231,33530,48391,39637,0,normal
31-Mar-19,12:38:43,9000,36957,44759,10583,0,normal
31-Mar-19, 12:38:44 ,56238,8614,4284,39628,0,normal
31-Mar-19,12:38:44,19992,8039,27877,38556,0,normal
31-Mar-19,12:38:44,58810,38674,7475,10372,0,normal
31-Mar-19, 12:38:46 ,55277,41410,35885,64018,0,normal
31-Mar-19,12:38:46,14376,53132,58018,33942,0,normal
31-Mar-19, 12:38:47 ,33675,64328,17326,7185,0,normal
31-Mar-19,12:38:47,21102,9098,12684,18385,0,normal
31-Mar-19,12:38:47,247,37038,15012,44058,0,normal
31-Mar-19,12:38:47,33107,27906,21778,9470,0,normal
31-Mar-19,12:38:47,42813,17757,28793,30896,0,normal
31-Mar-19, 12:38:48 ,297,65531,2983,22301,0,normal
31-Mar-19,12:38:48,27364,37047,63523,6811,0,normal
31-Mar-19,12:38:49,16188,24133,57986,8236,0,normal
31-Mar-19,12:38:49,28082,13934,52495,49702,0,normal
31-Mar-19, 12:38:50 ,10282,13728,3698,57977,0,normal
31-Mar-19, 12:38:50 ,17266,53727,27661,45479,0,normal
31-Mar-19, 12:38:50 ,4164,11911,31797,19500,0,normal
31-Mar-19, 12:38:51 ,14320,46162,10418,62326,0,normal
31-Mar-19, 12:38:51 ,45800,25946,13572,62560,0,normal
31-Mar-19,12:38:51,43076,24862,65313,2781,0,normal
31-Mar-19,12:38:52,52250,55436,40227,39114,0,normal
31-Mar-19, 12:37:55 ,52856,58236,46899,7040,0,normal
31-Mar-19,12:37:55,1503,46285,44972,54573,0,normal
31-Mar-19,12:37:55,52856,58236,46899,7040,0,normal
31-Mar-19,12:37:56,3060,5898,9418,3329,0,normal
31-Mar-19,12:37:56,36160,28976,52227,41870,0,normal
31-Mar-19,12:37:56,402,50581,2266,47378,0,normal
31-Mar-19,12:37:56,61516,23184,28138,23767,0,normal
31-Mar-19,12:37:58,1047,8178,18134,469,0,normal
31-Mar-19,12:37:58,32279,5240,36504,60370,0,normal
31-Mar-19,12:37:58,33905,20295,19890,31295,0,normal
31-Mar-19,12:37:58,65254,64521,10411,23880,0,normal
31-Mar-19, 12:37:59 ,14597,4975,60254,15092,0,normal
31-Mar-19, 12:37:59 ,2962,11836,7797,20639,0,normal
31-Mar-19,12:38:00,12172,25368,31658,64526,0,normal
31-Mar-19, 12:38:01 ,14707,39990,28466,36889,0,normal
31-Mar-19, 12:38:01 ,14840,1324,16502,26329,0,normal
31-Mar-19, 12:38:01 ,9151,27982,11671,17045,0,normal
31-Mar-19, 12:38:02 ,26624,37493,29016,48824,0,normal
31-Mar-19, 12:38:02 ,27053,49434,26066,3916,0,normal
31-Mar-19, 12:38:02 ,37077,36221,2873,35115,0,normal
31-Mar-19, 12:38:03 ,53839,26366,54089,43648,0,normal
31-Mar-19,12:38:03,53839,26366,54089,43648,0,normal
31-Mar-19, 12:38:04 ,545,39152,51102,63409,0,normal
31-Mar-19, 12:38:05 ,12607,59639,46045,10992,0,normal
31-Mar-19,12:38:07,62651,62812,35391,53691,0,normal
31-Mar-19,12:38:08,20749,2219,59496,61599,0,normal
31-Mar-19,12:38:08,31793,55760,52423,30563,0,normal
31-Mar-19,12:38:08,56522,24542,26646,36936,0,normal
31-Mar-19, 12:38:09 ,41802,7500,60016,46711,0,normal
31-Mar-19,12:38:09,0,0,0,0,0,normal
31-Mar-19, 12:38:10 ,4795,50981,46105,54894,0,normal
31-Mar-19, 12:38:10 ,7364,40968,48952,49746,0,normal
31-Mar-19, 12:38:11 ,11196,44504,44518,17433,0,normal
31-Mar-19, 12:38:11 ,4833,56217,416,64490,0,normal
31-Mar-19, 12:38:11 ,61401,41561,25396,40990,0,normal
31-Mar-19,12:38:12,42937,30973,18208,37670,0,normal
31-Mar-19, 12:38:14 ,13125,15346,38277,961,0,normal
31-Mar-19,12:38:14,41878,16445,43723,57851,0,normal
31-Mar-19, 12:38:16 ,61581,43770,13804,64278,0,normal
31-Mar-19,12:38:16,61581,43770,13804,64278,0,normal
31-Mar-19,12:38:16,8843,42349,25884,38276,0,normal
31-Mar-19, 12:38:17 ,65403,10276,33087,45509,0,normal
31-Mar-19,12:38:17,43545,46506,58015,5472,0,normal
31-Mar-19, 12:38:18 ,7897,63295,40243,39554,0,normal
31-Mar-19,12:38:18,47719,56910,49064,20089,0,normal
31-Mar-19,12:38:18,7897,63295,40243,39554,0,normal
31-Mar-19, 12:38:19 ,47183,15435,51871,44188,0,normal
31-Mar-19,12:38:19,47187,2329,42564,1884,0,normal
31-Mar-19,12:38:19,53244,1800,24797,9560,0,normal
31-Mar-19, 12:38:20 ,38126,35483,11379,61340,0,normal
31-Mar-19,12:38:20,38126,35483,11379,61340,0,normal
31-Mar-19,12:38:20,60527,21572,53430,37512,0,normal
31-Mar-19, 12:38:21 ,32111,62645,34200,58665,0,normal
31-Mar-19, 12:38:21 ,5382,36699,16355,21639,0,normal
31-Mar-19,12:38:21,4056,3250,14433,60051,0,normal
31-Mar-19,12:38:21,5382,36699,16355,21639,0,normal
31-Mar-19, 12:38:22 ,4056,3250,14433,60051,0,normal
31-Mar-19,12:38:22,18755,61830,22753,41754,0,normal
31-Mar-19,12:38:22,45699,16545,36438,7501,0,normal
31-Mar-19,12:38:22,63891,63513,48547,52975,0,normal
31-Mar-19, 12:38:23 ,19162,55372,55710,5457,0,normal
31-Mar-19,12:38:23,51140,52117,16453,25460,0,normal
31-Mar-19, 12:38:24 ,9016,37414,34525,33780,0,normal
31-Mar-19,12:38:24,56812,21706,23062,51899,0,normal
31-Mar-19,12:38:25,14113,19839,21512,10577,0,normal
31-Mar-19,12:38:25,56812,21706,23062,51899,0,normal
31-Mar-19,12:38:25,63908,13748,64372,34183,0,normal
31-Mar-19, 12:38:26 ,27730,934,62531,30130,0,normal
31-Mar-19, 12:38:26 ,53127,11303,51040,11331,0,normal
31-Mar-19,12:38:26,18257,40194,15880,30200,0,normal
31-Mar-19,12:38:26,27730,934,62531,30130,0,normal
31-Mar-19, 12:38:27 ,557,45606,42476,30030,0,normal
31-Mar-19, 12:38:28 ,38963,38023,30971,17592,0,normal
31-Mar-19, 12:38:28 ,64707,47638,57054,9996,0,normal
31-Mar-19,12:38:28,15961,31835,63816,64281,0,normal
31-Mar-19,12:38:28,59659,19883,14290,44046,0,normal
31-Mar-19, 12:38:29 ,19632,21862,36182,52381,0,normal
31-Mar-19, 12:38:53 ,29168,18246,16938,6632,0,normal
31-Mar-19, 12:38:53 ,949,40380,15270,58193,0,normal
31-Mar-19,12:38:53,29168,18246,16938,6632,0,normal
31-Mar-19,12:38:53,3449,582,45113,2216,0,normal
31-Mar-19,12:38:53,949,40380,15270,58193,0,normal
31-Mar-19, 12:38:54 ,27186,58525,42913,55094,0,normal
31-Mar-19, 12:38:54 ,6412,55994,65230,60421,0,normal
31-Mar-19,12:38:54,1568,9707,36312,6350,0,normal
31-Mar-19, 12:38:55 ,1568,9707,36312,6350,0,normal
31-Mar-19, 12:38:55 ,40247,16881,56621,37364,0,normal
31-Mar-19, 12:38:55 ,8174,13437,35741,20650,0,normal
31-Mar-19,12:38:55,14086,34672,51714,47043,0,normal
31-Mar-19, 12:38:56 ,26272,9758,64623,21967,0,normal
31-Mar-19, 12:38:56 ,9438,44100,12214,59586,0,normal
31-Mar-19,12:38:56,14086,34672,51714,47043,0,normal
31-Mar-19,12:38:56,62716,47507,53434,30969,0,normal
31-Mar-19, 12:38:57 ,37383,25494,6411,57275,0,normal
31-Mar-19, 12:38:57 ,43115,35573,29080,25037,0,normal
31-Mar-19,12:38:57,3331,32000,28142,7783,0,normal
31-Mar-19, 12:38:58 ,12149,61398,26555,44477,0,normal
31-Mar-19, 12:38:58 ,44950,56170,58664,57158,0,normal
31-Mar-19, 12:38:58 ,45359,26859,38045,50842,0,normal
31-Mar-19, 12:38:58 ,62347,21071,51331,56252,0,normal
31-Mar-19,12:38:58,23069,46129,26993,59632,0,normal
31-Mar-19,12:38:58,44950,56170,58664,57158,0,normal
31-Mar-19,12:38:59,40721,19893,15973,33216,0,normal
31-Mar-19,12:38:59,9452,33979,24694,4039,0,normal
31-Mar-19, 12:39:00 ,16879,59488,48300,32610,0,normal
31-Mar-19, 12:39:00 ,49005,63678,12821,8459,0,normal
31-Mar-19, 12:39:00 ,6378,10525,64184,21161,0,normal
31-Mar-19,12:39:00,16879,59488,48300,32610,0,normal
31-Mar-19,12:39:00,49005,63678,12821,8459,0,normal
31-Mar-19,12:39:00,6378,10525,64184,21161,0,normal
31-Mar-19, 12:39:01 ,41600,12952,55078,30190,0,normal
31-Mar-19,12:39:01,14005,39302,14982,20193,0,normal
31-Mar-19,12:39:02,22265,56385,22429,35145,0,normal
31-Mar-19,12:39:02,49051,1858,19849,32764,0,normal
31-Mar-19, 12:39:03 ,49033,22768,28734,6686,0,normal
31-Mar-19, 12:39:04 ,35542,28322,50869,17399,0,normal
31-Mar-19, 12:39:04 ,36727,11647,41573,23039,0,normal
31-Mar-19,12:39:04,16780,56950,43079,39628,0,normal
